Average Price snt/kWh;;;Minimum Price snt/kWh;
DateAvg;PriceAvg;;DateMin;PriceMin
1.3.2006;4,42;;1.3.2006;
1.4.2006;4,43;;1.4.2006;
1.5.2006;4,43;;1.5.2006;
1.6.2006;4,67;;1.6.2006;
1.7.2006;4,71;;1.7.2006;
1.8.2006;4,74;;1.8.2006;
1.9.2006;4,81;;1.9.2006;
1.10.2006;4,82;;1.10.2006;
1.11.2006;4,88;;1.11.2006;
1.12.2006;4,9;;1.12.2006;
1.1.2007;4,93;;1.1.2007;
1.2.2007;4,95;;1.2.2007;
1.3.2007;4,94;;1.3.2007;
1.4.2007;4,8;;1.4.2007;
1.5.2007;4,75;;1.5.2007;
1.6.2007;4,72;;1.6.2007;
1.7.2007;4,71;;1.7.2007;
1.8.2007;4,72;;1.8.2007;
1.9.2007;4,79;;1.9.2007;
1.10.2007;4,8;;1.10.2007;
1.11.2007;4,84;;1.11.2007;2,88
1.12.2007;4,86;;1.12.2007;2,88
1.1.2008;5,18;;1.1.2008;2,88
1.2.2008;5,5;;1.2.2008;3,38
1.3.2008;5,49;;1.3.2008;3,38
1.4.2008;5,59;;1.4.2008;3,38
1.5.2008;5,6;;1.5.2008;3,38
1.6.2008;5,66;;1.6.2008;3,38
1.7.2008;5,67;;1.7.2008;3,38
1.8.2008;5,77;;1.8.2008;3,38
1.9.2008;6,08;;1.9.2008;3,38
1.10.2008;6,2;;1.10.2008;3,38
1.11.2008;6,28;;1.11.2008;3,38
1.12.2008;6,29;;1.12.2008;3,38
1.1.2009;6,3;;1.1.2009;3,38
1.2.2009;6,33;;1.2.2009;3,38
1.3.2009;6,26;;1.3.2009;3,66
1.4.2009;6,23;;1.4.2009;3,66
1.5.2009;6,11;;1.5.2009;3,66
1.6.2009;6,04;;1.6.2009;3,66
1.7.2009;6,03;;1.7.2009;3,66
1.8.2009;5,87;;1.8.2009;3,66
1.9.2009;5,86;;1.9.2009;3,66
1.10.2009;5,94;;1.10.2009;3,66
1.11.2009;6,2;;1.11.2009;3,66
1.12.2009;6,2;;1.12.2009;3,66
1.1.2010;6,15;;1.1.2010;3,66
1.2.2010;6,16;;1.2.2010;3,66
1.3.2010;6,16;;1.3.2010;3,66
1.4.2010;6,34;;1.4.2010;3,66
1.5.2010;6,33;;1.5.2010;3,66
1.6.2010;6,39;;1.6.2010;3,66
1.7.2010;6,57;;1.7.2010;3,66
1.8.2010;6,66;;1.8.2010;3,66
1.9.2010;6,7;;1.9.2010;3,66
1.10.2010;6,9;;1.10.2010;3,66
1.11.2010;6,95;;1.11.2010;3,71
1.12.2010;6,95;;1.12.2010;3,71
1.1.2011;7,12;;1.1.2011;3,71
1.2.2011;7,23;;1.2.2011;3,71
1.3.2011;7,32;;1.3.2011;3,71
1.4.2011;7,43;;1.4.2011;3,71
1.5.2011;7,47;;1.5.2011;3,71
1.6.2011;7,51;;1.6.2011;3,71
1.7.2011;7,51;;1.7.2011;3,71
1.8.2011;7,51;;1.8.2011;3,71
1.9.2011;7,52;;1.9.2011;3,71
1.10.2011;7,41;;1.10.2011;3,71
1.11.2011;7,38;;1.11.2011;3,71
1.12.2011;7,27;;1.12.2011;3,71
1.1.2012;7,14;;1.1.2012;3,71
1.2.2012;7,15;;1.2.2012;3,71
1.3.2012;7,14;;1.3.2012;3,71
1.4.2012;6,59;;1.4.2012;3,71
